condition,seed,step,target_tokens_millions,target_validation_bits_per_byte,lexical_probe_accuracy_percent,grammar_logprob_margin,grammar_minimal_pair_accuracy_percent,normalized_llc_ratio_to_start,english_validation_bits_per_byte,generating_transition_step
Structured Spanish replication,2,100,0.409600,2.209510,36.625191,0.007859,50.245607,1.072588,1.187316,689.115340
Structured Spanish replication,2,200,0.819200,1.994963,52.075725,0.050129,51.566018,1.134180,1.188924,689.115340
Structured Spanish replication,2,300,1.228800,1.867469,61.949293,0.014810,50.462809,1.170944,1.197771,689.115340
Structured Spanish replication,2,450,1.843200,1.709357,72.591948,0.150013,54.674230,1.211991,1.201433,689.115340
Structured Spanish replication,2,600,2.457600,1.549527,79.408896,0.391687,62.001416,1.207870,1.206720,689.115340
Structured Spanish replication,2,700,2.867200,1.428370,81.276228,0.829478,73.824119,1.143620,1.217880,689.115340
Structured Spanish replication,2,800,3.276800,1.349247,81.377332,1.109103,80.001360,1.099012,1.221453,689.115340
Structured Spanish replication,2,900,3.686400,1.284472,83.628588,1.365649,84.645467,1.076888,1.233628,689.115340
Structured Spanish replication,2,1050,4.300800,1.214463,82.946306,1.506786,86.801055,1.085207,1.231722,689.115340
Structured Spanish replication,2,1250,5.120000,1.208436,84.285811,1.575401,87.753061,1.087178,1.236453,689.115340
Structured Spanish replication,2,1500,6.144000,1.223185,86.394104,1.561569,87.566033,1.099234,1.236379,689.115340
Structured Spanish replication,2,1850,7.577600,1.209579,86.101335,1.583136,87.856600,1.095941,1.238445,689.115340
Structured Spanish replication,2,2200,9.011200,1.192107,86.209625,1.605053,88.145862,1.116040,1.238722,689.115340
Structured Spanish replication,2,2500,10.240000,1.203765,85.354792,1.629435,88.460639,1.101104,1.239139,689.115340
Structured Spanish replication,3,0,0.000000,2.539112,12.425723,-0.043542,48.639646,0.994439,1.181140,709.052054
Structured Spanish replication,3,100,0.409600,2.196228,36.073759,-0.017730,49.445963,1.084437,1.185946,709.052054
Structured Spanish replication,3,200,0.819200,2.017307,52.901754,0.105109,53.279946,1.130277,1.187448,709.052054
Structured Spanish replication,3,300,1.228800,1.858131,62.930701,0.104754,53.268897,1.173382,1.194898,709.052054
Structured Spanish replication,3,450,1.843200,1.729390,73.483455,0.159172,54.957791,1.217081,1.198847,709.052054
Structured Spanish replication,3,600,2.457600,1.564202,78.554252,0.355932,60.942962,1.221034,1.205640,709.052054
Structured Spanish replication,3,700,2.867200,1.453434,80.918299,0.711065,70.864893,1.163699,1.213224,709.052054
Structured Spanish replication,3,800,3.276800,1.387692,81.844289,1.119063,80.199805,1.103245,1.222823,709.052054
Structured Spanish replication,3,900,3.686400,1.302484,82.676187,1.410260,85.356311,1.080778,1.236946,709.052054
Structured Spanish replication,3,1050,4.300800,1.205543,84.526144,1.562127,87.573632,1.076013,1.238714,709.052054
Structured Spanish replication,3,1250,5.120000,1.223791,85.202058,1.677142,89.055546,1.080437,1.231740,709.052054
Structured Spanish replication,3,1500,6.144000,1.213010,84.868523,1.618461,88.319873,1.093387,1.239691,709.052054
Structured Spanish replication,3,1850,7.577600,1.200380,84.869286,1.638780,88.579340,1.100148,1.237906,709.052054
Structured Spanish replication,3,2200,9.011200,1.203480,85.459207,1.648617,88.703142,1.107479,1.233978,709.052054
Structured Spanish replication,3,2500,10.240000,1.193491,84.818680,1.641247,88.610499,1.102637,1.238137,709.052054
